126,No Judgement,Niall Horan,846909
127,No Shame,5 Seconds of Summer,844523
128,Lights Up,Harry Styles,843524
129,Money In The Grave,Drake(Drake ft. Rick Ross),840164
130,Que Tire Pa Lante,Daddy Yankee,839274
131,VIBEZ,DaBaby,835083
132,Indeciso,Reik,834805
133,Mios mit Bars,Luciano,834258
134,Trampoline,SHAED(with ZAYN),832272
135,Robbery,Juice WRLD,832092
136,Lose Yourself - From "8 Mile" Soundtrack,Eminem,821236
137,Perfect,Ed Sheeran,819857
138,Piece Of Your Heart,MEDUZA,814689
139,SICKO MODE,Travis Scott,813399
140,Futsal Shuffle 2020,Lil Uzi Vert,811297
141,Si Te Vas,Sech,808501
142,Quizas,Rich Music LTD,805995
143,Changes,Justin Bieber,805464
144,I Like Me Better,Lauv,799770
145,Black Swan,BTS,797599
146,Maniac,Conan Gray,796265
147,GOODMORNINGTOKYO!,TOKYO’S REVENGE,792974
148,Eastside,benny blanco(with Halsey & Khalid),789257
149,thank u next,Ariana Grande,787548
150,SAD!,XXXTENTACION,783344
151,All of Me,John Legend,781065
152,Girls Like You,Maroon 5(feat. Cardi B),774977
153,Confirmation,Justin Bieber,774010
154,Sweet but Psycho,Ava Max,771051
155,Jocelyn Flores,XXXTENTACION,769281
156,You Need To Calm Down,Taylor Swift,764892
157,Higher Love,Kygo,760974
158,Perreo en La Luna,Rich Music LTD,757298
159,Forever Yours - Avicii Tribute,Kygo,755793
160,all the good girls go to hell,Billie Eilish,754648
161,goosebumps,Travis Scott,746667
162,Que Calor,Major Lazer(with J Balvin & El Alfa),745907
163,Can We Kiss Forever?,Kina,743594
164,Hate Me,Ellie Goulding(with Juice WRLD),742604
165,I.F.L.Y.,Bazzi,740263
166,Truth Hurts,Lizzo,738,02
167,Better Now,Post Malone,735010
168,Good News,Mac Miller,734753
169,i love you,Billie Eilish,732235
170,The Less I Know The Better,Tame Impala,730092
171,Borderline,Tame Impala,725738
172,Youngblood,5 Seconds of Summer,723791
173,wish you were gay,Billie Eilish,722820
174,Infeliz,Arcangel,722695
175,If I Can't Have You,Shawn Mendes,722480
176,Takeaway,The Chainsmokers,722083
177,Tutu,Camilo,720087
178,Liberdade Provisória - Ao Vivo,Henrique & Juliano,719918
179,All I Want - From "High School Musical: The Musical: The Series",Olivia Rodrigo,717286
180,Go Stupid,Polo G,715439
181,Too Good At Goodbyes,Sam Smith,713338
182,SLOW DANCING IN THE DARK,Joji,711476
183,Be Alright,Dean Lewis,708748
184,No Guidance,Chris Brown(feat. Drake),706679
185,E.T.A.,Justin Bieber,705,872
